index,uuid,driver_version,name,gpu_serial,display_active,display_mode
2,GPU-af3a4183-2ea1-ff77-9754-6eb839e0d6f2,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Disabled,Disabled
3,GPU-c1561944-bdd2-46a5-f659-b20a0cb823fb,550.107.02,NVIDIA GeForce RTX 4090,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
2,0,24564,9554,14657,2025/06/15 21:35:59.445
3,100,24564,10259,13950,2025/06/15 21:35:59.446
2,0,24564,9554,14657,2025/06/15 21:36:04.510
3,100,24564,10259,13950,2025/06/15 21:36:04.510
2,90,24564,9554,14657,2025/06/15 21:36:09.575
3,94,24564,10260,13948,2025/06/15 21:36:09.576
2,82,24564,9554,14657,2025/06/15 21:36:14.639
3,83,24564,10261,13948,2025/06/15 21:36:14.641
2,82,24564,9554,14657,2025/06/15 21:36:19.697
3,83,24564,10259,13950,2025/06/15 21:36:19.698
2,0,24564,9554,14657,2025/06/15 21:36:24.746
3,2,24564,10258,13950,2025/06/15 21:36:24.746
2,0,24564,9554,14657,2025/06/15 21:36:29.810
3,100,24564,10259,13949,2025/06/15 21:36:29.811
2,79,24564,9554,14657,2025/06/15 21:36:34.883
3,81,24564,10259,13949,2025/06/15 21:36:34.884
2,98,24564,9554,14657,2025/06/15 21:36:39.949
3,100,24564,10258,13950,2025/06/15 21:36:39.950
2,100,24564,9554,14657,2025/06/15 21:36:45.017
3,100,24564,10261,13948,2025/06/15 21:36:45.018
2,5,24564,9554,14657,2025/06/15 21:36:50.061
3,3,24564,10259,13949,2025/06/15 21:36:50.062
2,4,24564,9554,14657,2025/06/15 21:36:55.104
3,100,24564,10259,13950,2025/06/15 21:36:55.105
2,0,24564,9554,14657,2025/06/15 21:37:00.170
3,100,24564,10259,13950,2025/06/15 21:37:00.171
2,100,24564,9554,14657,2025/06/15 21:37:05.237
3,100,24564,10259,13949,2025/06/15 21:37:05.238
2,92,24564,9554,14657,2025/06/15 21:37:10.303
3,90,24564,10258,13950,2025/06/15 21:37:10.304
2,45,24564,9554,14657,2025/06/15 21:37:15.374
3,89,24564,10259,13950,2025/06/15 21:37:15.375
2,0,24564,9554,14657,2025/06/15 21:37:20.442
3,100,24564,10259,13949,2025/06/15 21:37:20.442
2,0,24564,9554,14657,2025/06/15 21:37:25.502
3,100,24564,10259,13950,2025/06/15 21:37:25.503
2,77,24564,9554,14657,2025/06/15 21:37:30.565
3,79,24564,10258,13950,2025/06/15 21:37:30.567
2,100,24564,9554,14657,2025/06/15 21:37:35.636
3,100,24564,10261,13948,2025/06/15 21:37:35.637
2,44,24564,9554,14657,2025/06/15 21:37:40.704
3,65,24564,10259,13950,2025/06/15 21:37:40.705
2,0,24564,9554,14657,2025/06/15 21:37:45.768
3,100,24564,10259,13950,2025/06/15 21:37:45.769
2,0,24564,9554,14657,2025/06/15 21:37:50.832
3,100,24564,10260,13948,2025/06/15 21:37:50.833
2,0,24564,9554,14657,2025/06/15 21:37:55.896
3,100,24564,10259,13949,2025/06/15 21:37:55.897
2,0,24564,9554,14657,2025/06/15 21:38:00.964
3,100,24564,10259,13950,2025/06/15 21:38:00.964
2,100,24564,9554,14657,2025/06/15 21:38:06.029
3,100,24564,10259,13950,2025/06/15 21:38:06.030
2,100,24564,9554,14657,2025/06/15 21:38:11.097
3,99,24564,10259,13949,2025/06/15 21:38:11.110
2,73,24564,9554,14657,2025/06/15 21:38:16.179
3,76,24564,10259,13950,2025/06/15 21:38:16.181
2,5,24564,9554,14657,2025/06/15 21:38:21.246
3,3,24564,10259,13950,2025/06/15 21:38:21.247
2,0,24564,9554,14657,2025/06/15 21:38:26.310
3,100,24564,10259,13950,2025/06/15 21:38:26.311
2,0,24564,9554,14657,2025/06/15 21:38:31.376
3,100,24564,10259,13950,2025/06/15 21:38:31.377
2,0,24564,9554,14657,2025/06/15 21:38:36.427
3,100,24564,10259,13950,2025/06/15 21:38:36.428
2,0,24564,9554,14657,2025/06/15 21:38:41.494
3,100,24564,10259,13950,2025/06/15 21:38:41.495
2,72,24564,9554,14657,2025/06/15 21:38:46.564
3,75,24564,10259,13950,2025/06/15 21:38:46.565
2,100,24564,9554,14657,2025/06/15 21:38:51.627
3,99,24564,10260,13948,2025/06/15 21:38:51.628
2,72,24564,9554,14657,2025/06/15 21:38:56.671
3,74,24564,10259,13949,2025/06/15 21:38:56.672
2,0,24564,9554,14657,2025/06/15 21:39:01.717
3,100,24564,10261,13948,2025/06/15 21:39:01.718
2,0,24564,9554,14657,2025/06/15 21:39:06.782
3,100,24564,10259,13950,2025/06/15 21:39:06.782
2,0,24564,9554,14657,2025/06/15 21:39:11.844
3,100,24564,10259,13950,2025/06/15 21:39:11.845
2,0,24564,9554,14657,2025/06/15 21:39:16.908
3,100,24564,10259,13949,2025/06/15 21:39:16.908
2,0,24564,9554,14657,2025/06/15 21:39:21.957
3,100,24564,10259,13950,2025/06/15 21:39:21.958
2,100,24564,9554,14657,2025/06/15 21:39:27.024
3,100,24564,10259,13950,2025/06/15 21:39:27.025
2,94,24564,9554,14657,2025/06/15 21:39:32.091
3,90,24564,10259,13949,2025/06/15 21:39:32.093
2,100,24564,9554,14657,2025/06/15 21:39:37.157
3,100,24564,10258,13950,2025/06/15 21:39:37.158
2,0,24564,9554,14657,2025/06/15 21:39:42.224
3,100,24564,10260,13948,2025/06/15 21:39:42.224
2,0,24564,9554,14657,2025/06/15 21:39:47.290
3,100,24564,10259,13949,2025/06/15 21:39:47.291
2,69,24564,9554,14657,2025/06/15 21:39:52.356
3,73,24564,10258,13950,2025/06/15 21:39:52.357
2,100,24564,9554,14657,2025/06/15 21:39:57.415
3,99,24564,10258,13950,2025/06/15 21:39:57.416
2,70,24564,9554,14657,2025/06/15 21:40:02.475
3,73,24564,10259,13949,2025/06/15 21:40:02.476
2,0,24564,9554,14657,2025/06/15 21:40:07.538
3,18,24564,10259,13950,2025/06/15 21:40:07.538
2,0,24564,9554,14657,2025/06/15 21:40:12.602
3,100,24564,9873,14336,2025/06/15 21:40:12.603
2,100,24564,9554,14657,2025/06/15 21:40:17.668
3,98,24564,9873,14335,2025/06/15 21:40:17.669
2,100,24564,9554,14657,2025/06/15 21:40:22.739
3,99,24564,9872,14337,2025/06/15 21:40:22.740
2,100,24564,9554,14657,2025/06/15 21:40:27.808
3,99,24564,9872,14336,2025/06/15 21:40:27.809
2,42,24564,9554,14657,2025/06/15 21:40:32.867
3,88,24564,9872,14336,2025/06/15 21:40:32.870
2,0,24564,9554,14657,2025/06/15 21:40:37.932
3,100,24564,9873,14335,2025/06/15 21:40:37.933
2,0,24564,9554,14657,2025/06/15 21:40:42.997
3,100,24564,9871,14337,2025/06/15 21:40:42.998
2,86,24564,9554,14657,2025/06/15 21:40:48.062
3,89,24564,9871,14337,2025/06/15 21:40:48.062
2,99,24564,9554,14657,2025/06/15 21:40:53.127
3,100,24564,9872,14337,2025/06/15 21:40:53.129
2,89,24564,9554,14657,2025/06/15 21:40:58.196
3,92,24564,9871,14337,2025/06/15 21:40:58.197
2,0,24564,9554,14657,2025/06/15 21:41:03.263
3,100,24564,9871,14338,2025/06/15 21:41:03.264
2,0,24564,9554,14657,2025/06/15 21:41:08.304
3,100,24564,9872,14337,2025/06/15 21:41:08.305
2,71,24564,9554,14657,2025/06/15 21:41:13.371
3,71,24564,9873,14335,2025/06/15 21:41:13.372
2,100,24564,9554,14657,2025/06/15 21:41:18.439
3,99,24564,9872,14336,2025/06/15 21:41:18.445
